sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:100304;100304;1900-01-01;9999-12-31;347;VALIDATED;Seilbahn Ried Illgau;Seilbahn Ried Illgau;Seilbahn Ried Illgau;Seilbahn Ried Illgau;SRI;SRI;SRI;SRI;10;Eisenbahn;Ferrovia;Chemin de fer;#0590;SRI;Luftseilbahngenossenschaft Illgau;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100305;100305;1900-01-01;9999-12-31;348;VALIDATED;Impianti turistici Rivera-Monte Tamaro;Impianti turistici Rivera-Monte Tamaro;Impianti turistici Rivera-Monte Tamaro;Impianti turistici Rivera-Monte Tamaro;ITRT;ITRT;ITRT;ITRT;45;Luft;Aria;Air;#1112;ITRT;Monte Tamaro SA;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100306;100306;2020-08-18;9999-12-31;349;VALIDATED;LTB Lungern-Turren-Bahn AG;LTB Lungern-Turren-Bahn AG;LTB Lungern-Turren-Bahn AG;LTB Lungern-Turren-Bahn AG;LTBAG;LTBAG;LTBAG;LTBAG;45;Luft;Aria;Air;#1320;LTBAG;LTB Lungern-Turren-Bahn AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100307;100307;1900-01-01;9999-12-31;350;VALIDATED;DB Kreis Konstanz;DB Kreis Konstanz;DB Kreis Konstanz;DB Kreis Konstanz;DB/Konsta;DB/Konsta;DB/Konsta;DB/Konsta;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100308;100308;1900-01-01;9999-12-31;351;VALIDATED;SBB GmbH (Grenzverkehr);SBB GmbH (Grenzverkehr);SBB GmbH (Grenzverkehr);SBB GmbH (Grenzverkehr);SBB GmbH;SBB GmbH;SBB GmbH;SBB GmbH;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0003;SBBD;SBB GmbH;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100310;100310;1900-01-01;9999-12-31;353;VALIDATED;Deutsche Bahnhöfe im Kt. Schaffhausen;Deutsche Bahnhöfe im Kt. Schaffhausen;Deutsche Bahnhöfe im Kt. Schaffhausen;Deutsche Bahnhöfe im Kt. Schaffhausen;DB/SH;DB/SH;DB/SH;DB/SH;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;#0058;DICH;Deutsche Eisenbahn-Infrastruktur in der Schweiz;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100311;100311;1900-01-01;9999-12-31;354;VALIDATED;Südbadenbus GmbH;Südbadenbus GmbH;Südbadenbus GmbH;Südbadenbus GmbH;SBG;SBG;SBG;SBG;30;Strasse;Strada;Route;#0053;SBG;SBG SüdbadenBus GmbH;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100317;100317;2020-06-09;9999-12-31;360;VALIDATED;Bodensee-Schiffsbetriebe GmbH;Bodensee-Schiffsbetriebe GmbH;Bodensee-Schiffsbetriebe GmbH;Bodensee-Schiffsbetriebe GmbH;BSB;BSB;BSB;BSB;20;Schiff;Nave;Bateau;#0642;BSB;Bodensee-Schiffsbetriebe GmbH;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100318;100318;1900-01-01;9999-12-31;361;VALIDATED;Bodensee-Schiffsbetriebe - Rorschach-Lindau/Friedrichshafen;Bodensee-Schiffsbetriebe - Rorschach-Lindau/Friedrichshafen;Bodensee-Schiffsbetriebe - Rorschach-Lindau/Friedrichshafen;Bodensee-Schiffsbetriebe - Rorschach-Lindau/Friedrichshafen;BSB Quer;BSB Quer;BSB Quer;BSB Quer;20;Schiff;Nave;Bateau;#0642;BSB;Bodensee-Schiffsbetriebe GmbH;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100324;100324;1900-01-01;9999-12-31;367;VALIDATED;Museumsbahn Stein am Rhein-Hemishofen-Ramsen;Museumsbahn Stein am Rhein-Hemishofen-Ramsen;Museumsbahn Stein am Rhein-Hemishofen-Ramsen;Museumsbahn Stein am Rhein-Hemishofen-Ramsen;SEHR;SEHR;SEHR;SEHR;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0073;SEHR;Stiftung Museumsbahn Stein am Rhein - Etzwilen - Hemishofen - Ramsen & Rielasingen - Singen (SEHR & RS);2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100325;100325;1900-01-01;9999-12-31;368;VALIDATED;DB REGIO Süddeutschland;DB REGIO Süddeutschland;DB REGIO Süddeutschland;DB REGIO Süddeutschland;DB/Süd;DB/Süd;DB/Süd;DB/Süd;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;#0054;DB;Deutsche Bahn AG;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100327;100327;1900-01-01;9999-12-31;371;VALIDATED;Société coopérative du Chemin de fer - Musée Blonay-Chamby;Société coopérative du Chemin de fer - Musée Blonay-Chamby;Société coopérative du Chemin de fer - Musée Blonay-Chamby;Société coopérative du Chemin de fer - Musée Blonay-Chamby;BC-cmBC;BC-cmBC;BC-cmBC;BC-cmBC;10;Eisenbahn;Ferrovia;Chemin de fer;#0121;cmBC;Société coopérative du Chemin de fer - Musée Blonay-Chamby;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100330;100330;1900-01-01;9999-12-31;374;VALIDATED;GT Moblie;GT Mobile;GT Mobile;GT Moblie;GTMob;GTMob;GTMob;GTMob;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100332;100332;1900-01-01;9999-12-31;401;VALIDATED;SBB-Werbekostenanteile XEU;SBB-Werbekostenanteile XEU;SBB-Werbekostenanteile XEU;SBB-Werbekostenanteile XEU;SBBW XEU $;SBBW XEU $;SBBW XEU $;SBBW XEU $;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100333;100333;1900-01-01;9999-12-31;402;VALIDATED;SBB-Werbekostenanteile CHF;SBB-Werbekostenanteile CHF;SBB-Werbekostenanteile CHF;SBB-Werbekostenanteile CHF;SBBW CHF;SBBW CHF;SBBW CHF;SBBW CHF;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100334;100334;1900-01-01;9999-12-31;403;VALIDATED;SBB-Handling-FEE;SBB-Handling-FEE;SBB-Handling-FEE;SBB-Handling-FEE;SBB Handl;SBB Handl;SBB Handl;SBB Handl;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100336;100336;2019-07-05;9999-12-31;405;VALIDATED;Auszahlungen an Dritte 1 (7,7 % MWSt);Auszahlungen an Dritte 1 (7,7 % MWSt);Auszahlungen an Dritte 1 (7,7 % MWSt);Auszahlungen an Dritte 1 (7,7 % MWSt);Dri 7.7%;Dri 7.7%;Dri 7.7%;Dri 7.7%;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100337;100337;1900-01-01;9999-12-31;406;VALIDATED;Auszahlungen an Dritte 2 (0,0 % MWSt);Auszahlungen an Dritte 2 (0,0 % MWSt);Auszahlungen an Dritte 2 (0,0 % MWSt);Auszahlungen an Dritte 2 (0,0 % MWSt);Dri 0.0%;Dri 0.0%;Dri 0.0%;Dri 0.0%;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100338;100338;1900-01-01;9999-12-31;407;VALIDATED;Auszahlungen an Dritte 3 (2,5 % MWSt);Auszahlungen an Dritte 3 (2,5 % MWSt);Auszahlungen an Dritte 3 (2,5 % MWSt);Auszahlungen an Dritte 3 (2,5 % MWSt);Dri 2.5%;Dri 2.5%;Dri 2.5%;Dri 2.5%;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100339;100339;2019-07-05;9999-12-31;408;VALIDATED;Auszahlungen an Dritte 4 (3,7 % MWSt);Auszahlungen an Dritte 4 (3,7 % MWSt);Auszahlungen an Dritte 4 (3,7 % MWSt);Auszahlungen an Dritte 4 (3,7 % MWSt);Dri 3.7%;Dri 3.7%;Dri 3.7%;Dri 3.7%;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100340;100340;1900-01-01;9999-12-31;409;VALIDATED;Auszahlungen an Dritte 5 (2,5 % / 0,0 % MWSt);Auszahlungen an Dritte 5 (2,5 % / 0,0 % MWSt);Auszahlungen an Dritte 5 (2,5 % / 0,0 % MWSt);Auszahlungen an Dritte 5 (2,5 % / 0,0 % MWSt);Dri 2.5/0%;Dri 2.5/0%;Dri 2.5/0%;Dri 2.5/0%;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100341;100341;1900-01-01;9999-12-31;410;VALIDATED;TRENORD S.r.l.;TRENORD S.r.l.;TRENORD S.r.l.;TRENORD S.r.l.;TRENORD;TRENORD;TRENORD;TRENORD;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100342;100342;1900-01-01;9999-12-31;420;VALIDATED;Treni Regionali Ticino Lombardia;Treni Regionali Ticino Lombardia;Treni Regionali Ticino Lombardia;Treni Regionali Ticino Lombardia;TILO;TILO;TILO;TILO;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0070;TILO;TILO SA;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100343;100343;1900-01-01;9999-12-31;422;VALIDATED;Iselle transito-Domodossola;Iselle transito-Domodossola;Iselle transito-Domodossola;Iselle transito-Domodossola;FS Domo;FS Domo;FS Domo;FS Domo;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;#0056;FS;Ferrovie dello Stato;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100344;100344;1900-01-01;9999-12-31;423;VALIDATED;Pino transito-Luino;Pino transito-Luino;Pino transito-Luino;Pino transito-Luino;FS Luino;FS Luino;FS Luino;FS Luino;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;#0056;FS;Ferrovie dello Stato;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100345;100345;1900-01-01;9999-12-31;424;VALIDATED;Società Subalpina di Imprese Ferroviare (Centovalli);Società Subalpina di Imprese Ferroviare (Centovalli);Società Subalpina di Imprese Ferroviare (Centovalli);Società Subalpina di Imprese Ferroviare (Centovalli);SSIF;SSIF;SSIF;SSIF;10;Eisenbahn;Ferrovia;Chemin de fer;#0173;SSIF;Società Subalpina Imprese Ferroviarie S.p.A.;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100346;100346;1900-01-01;9999-12-31;425;VALIDATED;Ausflugsverkehr Stresa;Ausflugsverkehr Stresa;Ausflugsverkehr Stresa;Ausflugsverkehr Stresa;FS Stresa;FS Stresa;FS Stresa;FS Stresa;50;Freizeitangebot;Ricreativo;Loisirs;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100348;100348;1900-01-01;9999-12-31;427;VALIDATED;Ausflugsverkehr Como;Ausflugsverkehr Como;Ausflugsverkehr Como;Ausflugsverkehr Como;FS Como;FS Como;FS Como;FS Como;50;Freizeitangebot;Ricreativo;Loisirs;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100349;100349;1900-01-01;9999-12-31;428;VALIDATED;SNCF Swiss Travel System;SNCF Swiss Travel System;SNCF Swiss Travel System;SNCF Swiss Travel System;SNCF STS;SNCF STS;SNCF STS;SNCF STS;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100350;100350;1900-01-01;9999-12-31;429;VALIDATED;SNCF TER Alsace;SNCF TER Alsace;SNCF TER Alsace;SNCF TER Alsace;SNCF Alsac;SNCF Alsac;SNCF Alsac;SNCF Alsac;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100352;100352;1900-01-01;9999-12-31;431;VALIDATED;Tarifverbund Zug (ITV);Tarifverbund Zug (ITV);Tarifverbund Zug (ITV);Tarifverbund Zug (ITV);TVZG2;TVZG2;TVZG2;TVZG2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100355;100355;1900-01-01;9999-12-31;434;VALIDATED;Verkehrsverbund Vorarlberg (Billette);Verkehrsverbund Vorarlberg (Billette);Verkehrsverbund Vorarlberg (Billette);Verkehrsverbund Vorarlberg (Billette);OTV-VVV2;OTV-VVV2;OTV-VVV2;OTV-VVV2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100356;100356;1900-01-01;9999-12-31;435;VALIDATED;Tarifverbund Aargau (Einzelbillett);Tarifverbund Aargau (Einzelbillett);Tarifverbund Aargau (Einzelbillett);Tarifverbund Aargau (Einzelbillett);TVAG3;TVAG3;TVAG3;TVAG3;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100357;100357;1900-01-01;9999-12-31;436;VALIDATED;Communauté tarifaire neuchâteloise 3 (billets);Communauté tarifaire neuchâteloise 3 (billets);Communauté tarifaire neuchâteloise 3 (billets);Communauté tarifaire neuchâteloise 3 (billets);CTNE3;CTNE3;CTNE3;CTNE3;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100358;100358;1900-01-01;9999-12-31;437;VALIDATED;Verkehrsverbund Vorarlberg (Abo);Verkehrsverbund Vorarlberg (Abo);Verkehrsverbund Vorarlberg (Abo);Verkehrsverbund Vorarlberg (Abo);OTV-VVV;OTV-VVV;OTV-VVV;OTV-VVV;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100359;100359;1900-01-01;9999-12-31;438;VALIDATED;Verkehrsverbund Hegau-Bodensee;Verkehrsverbund Hegau-Bodensee;Verkehrsverbund Hegau-Bodensee;Verkehrsverbund Hegau-Bodensee;OTV-VHB;OTV-VHB;OTV-VHB;OTV-VHB;30,51;Strasse,Tarifverbund;Strada,Comunità tariffaria;Route,Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100360;100360;1900-01-01;9999-12-31;439;VALIDATED;Communauté tarifaire genevoise 3 (billets);Communauté tarifaire genevoise 3 (billets);Communauté tarifaire genevoise 3 (billets);Communauté tarifaire genevoise 3 (billets);CTGE3;CTGE3;CTGE3;CTGE3;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100361;100361;1900-01-01;9999-12-31;440;VALIDATED;Tarifverbund Nordwestschweiz und Ticket TriRegio;Tarifverbund Nordwestschweiz und Ticket TriRegio;Tarifverbund Nordwestschweiz und Ticket TriRegio;Tarifverbund Nordwestschweiz und Ticket TriRegio;TNW TTR;TNW TTR;TNW TTR;TNW TTR;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100362;100362;1900-01-01;9999-12-31;441;VALIDATED;Communauté tarifaire neuchâteloise 2 (Abo);Communauté tarifaire neuchâteloise 2 (Abo);Communauté tarifaire neuchâteloise 2 (Abo);Communauté tarifaire neuchâteloise 2 (Abo);CTNE2;CTNE2;CTNE2;CTNE2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100363;100363;1900-01-01;9999-12-31;442;VALIDATED;Tarifverbund Passepartout 3 (Billette);Tarifverbund Passepartout 3 (Billette);Tarifverbund Passepartout 3 (Billette);Tarifverbund Passepartout 3 (Billette);TVLUOWNW3;TVLUOWNW3;TVLUOWNW3;TVLUOWNW3;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100364;100364;1900-01-01;9999-12-31;443;VALIDATED;Tarifverbund Passepartout 4 (Abo);Tarifverbund Passepartout 4 (Abo);Tarifverbund Passepartout 4 (Abo);Tarifverbund Passepartout 4 (Abo);TVLUOWNW4;TVLUOWNW4;TVLUOWNW4;TVLUOWNW4;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100365;100365;1900-01-01;9999-12-31;444;VALIDATED;Tarifverbund Aargau 2;Tarifverbund Aargau 2;Tarifverbund Aargau 2;Tarifverbund Aargau 2;TVAG2;TVAG2;TVAG2;TVAG2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100368;100368;1900-01-01;9999-12-31;447;VALIDATED;Communauté tarifaire genevoise (Abo);Communauté tarifaire genevoise (Abo);Communauté tarifaire genevoise (Abo);Communauté tarifaire genevoise (Abo);CTGE4;CTGE4;CTGE4;CTGE4;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100369;100369;1900-01-01;9999-12-31;448;VALIDATED;Vereinheitl. Nachtzuschlag Metropolitanraum Zürich;Vereinheitl. Nachtzuschlag Metropolitanraum Zürich;Vereinheitl. Nachtzuschlag Metropolitanraum Zürich;Vereinheitl. Nachtzuschlag Metropolitanraum Zürich;VNZ;VNZ;VNZ;VNZ;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100370;100370;1900-01-01;9999-12-31;449;VALIDATED;Communauté tarifaire vaudoise 3 (billets);Communauté tarifaire vaudoise 3 (billets;Communauté tarifaire vaudoise 3 (billets);Communauté tarifaire vaudoise 3 (billets);CTV3;CTV3;CTV3;CTV3;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100371;100371;1900-01-01;9999-12-31;450;VALIDATED;Communauté tarifaire vaudoise 4 (abos);Communauté tarifaire vaudoise 4 (abos);Communauté tarifaire vaudoise 4 (abos);Communauté tarifaire vaudoise 4 (abos);CTV4;CTV4;CTV4;CTV4;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100372;100372;1900-01-01;9999-12-31;451;VALIDATED;Tarifverbund Schwyz;Tarifverbund Schwyz;Tarifverbund Schwyz;Tarifverbund Schwyz;TVSZ;TVSZ;TVSZ;TVSZ;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100373;100373;1900-01-01;9999-12-31;452;VALIDATED;Tarifverbund Ostwind 1 (Billette);Tarifverbund Ostwind 1 (Billette);Tarifverbund Ostwind 1 (Billette);Tarifverbund Ostwind 1 (Billette);TVOst1;TVOst1;TVOst1;TVOst1;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100374;100374;1900-01-01;9999-12-31;453;VALIDATED;Tarifverbund Ostwind 2 (Abo);Tarifverbund Ostwind 2 (Abo);Tarifverbund Ostwind 2 (Abo);Tarifverbund Ostwind 2 (Abo);TVOst2;TVOst2;TVOst2;TVOst2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100375;100375;1900-01-01;9999-12-31;454;VALIDATED;Z-Pass Ostwind-ZVV (Abo);Z-Pass Ostwind-ZVV (Abo);Z-Pass Ostwind-ZVV (Abo);Z-Pass Ostwind-ZVV (Abo);ZVV-Ost;ZVV-Ost;ZVV-Ost;ZVV-Ost;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100376;100376;1900-01-01;9999-12-31;455;VALIDATED;Z-Pass A-Welle-ZVV (Abo);Z-Pass A-Welle-ZVV (Abo);Z-Pass A-Welle-ZVV (Abo);Z-Pass A-Welle-ZVV (Abo);ZVV-AG;ZVV-AG;ZVV-AG;ZVV-AG;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100377;100377;1900-01-01;9999-12-31;456;VALIDATED;Z-Pass Schwyz/Zug-ZVV (Abo);Z-Pass Schwyz/Zug-ZVV (Abo);Z-Pass Schwyz/Zug-ZVV (Abo);Z-Pass Schwyz/Zug-ZVV (Abo);ZVV-SZ/ZG;ZVV-SZ/ZG;ZVV-SZ/ZG;ZVV-SZ/ZG;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100378;100378;1900-01-01;9999-12-31;457;VALIDATED;Z-Pass Flextax-ZVV (Abo);Z-Pass Flextax-ZVV (Abo);Z-Pass Flextax-ZVV (Abo);Z-Pass Flextax-ZVV (Abo);ZVV-SH;ZVV-SH;ZVV-SH;ZVV-SH;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100381;100381;1900-01-01;9999-12-31;460;VALIDATED;Tarifverbund Nordwestschweiz;Tarifverbund Nordwestschweiz;Tarifverbund Nordwestschweiz;Tarifverbund Nordwestschweiz;TNW;TNW;TNW;TNW;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100382;100382;1900-01-01;9999-12-31;461;VALIDATED;Tarifverbund Schaffhausen;Tarifverbund Schaffhausen;Tarifverbund Schaffhausen;Tarifverbund Schaffhausen;TVSH;TVSH;TVSH;TVSH;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100384;100384;1900-01-01;9999-12-31;463;VALIDATED;Tariffa Integrata Arcobaleno (biglietti);Tariffa Integrata Arcobaleno (biglietti);Tariffa Integrata Arcobaleno (biglietti);Tariffa Integrata Arcobaleno (biglietti);TIA;TIA;TIA;TIA;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100385;100385;1900-01-01;9999-12-31;464;VALIDATED;Tariffa Integrata Arcobaleno (abo);Tariffa Integrata Arcobaleno (abo);Tariffa Integrata Arcobaleno (abo);Tariffa Integrata Arcobaleno (abo);TIA1;TIA1;TIA1;TIA1;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100386;100386;1900-01-01;9999-12-31;465;VALIDATED;Tarifverbund Biel/Bienne;Tarifverbund Biel/Bienne;Tarifverbund Biel/Bienne;Tarifverbund Biel/Bienne;TVBI;TVBI;TVBI;TVBI;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100387;100387;1900-01-01;9999-12-31;466;VALIDATED;Z-Pass Ostwind-ZVV (Billette);Z-Pass Ostwind-ZVV (Billette);Z-Pass Ostwind-ZVV (Billette);Z-Pass Ostwind-ZVV (Billette);ZVV-Ost2;ZVV-Ost2;ZVV-Ost2;ZVV-Ost2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100388;100388;1900-01-01;9999-12-31;467;VALIDATED;Z-Pass A-Welle-ZVV (Billette);Z-Pass A-Welle-ZVV (Billette);Z-Pass A-Welle-ZVV (Billette);Z-Pass A-Welle-ZVV (Billette);ZVV-AG2;ZVV-AG2;ZVV-AG2;ZVV-AG2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100389;100389;1900-01-01;9999-12-31;468;VALIDATED;Z-Pass Schwyz/Zug-ZVV (Billette);Z-Pass Schwyz/Zug-ZVV (Billette);Z-Pass Schwyz/Zug-ZVV (Billette);Z-Pass Schwyz/Zug-ZVV (Billette);ZVV-SZ/Z2;ZVV-SZ/Z2;ZVV-SZ/Z2;ZVV-SZ/Z2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100390;100390;1900-01-01;9999-12-31;469;VALIDATED;Z-Pass Flextax-ZVV (Billette);Z-Pass Flextax-ZVV (Billette);Z-Pass Flextax-ZVV (Billette);Z-Pass Flextax-ZVV (Billette);ZVV-SH2;ZVV-SH2;ZVV-SH2;ZVV-SH2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100391;100391;1900-01-01;9999-12-31;470;VALIDATED;Tarifverbund Libero 3 (Billette);Tarifverbund Libero 3 (Billette);Tarifverbund Libero 3 (Billette);Tarifverbund Libero 3 (Billette);TV Libero3;TV Libero3;TV Libero3;TV Libero3;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100392;100392;1900-01-01;9999-12-31;471;VALIDATED;Tarifverbund Luzern 2;Tarifverbund Luzern 2;Tarifverbund Luzern 2;Tarifverbund Luzern 2;TVLU2;TVLU2;TVLU2;TVLU2;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100393;100393;1900-01-01;9999-12-31;472;VALIDATED;Tarifverbund Waldshut;Tarifverbund Waldshut;Tarifverbund Waldshut;Tarifverbund Waldshut;TVWAH;TVWAH;TVWAH;TVWAH;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100394;100394;1900-01-01;9999-12-31;473;VALIDATED;Tarifverbund Passepartout (Billette);Tarifverbund Passepartout (Billette);Tarifverbund Passepartout (Billette);Tarifverbund Passepartout (Billette);TVLUOWNW;TVLUOWNW;TVLUOWNW;TVLUOWNW;51;Tarifverbund;Comunità tariffaria;Communauté tarifaire;;;;2022-08-04 14:16:30;2022-08-04 14:16:30
