sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:100024;100024;1900-01-01;9999-12-31;43;VALIDATED;Chemins de fer du Jura;Chemins de fer du Jura;Chemins de fer du Jura;Chemins de fer du Jura;CJ;CJ;CJ;CJ;10;Eisenbahn;Ferrovia;Chemin de fer;#0040;CJ;Compagnie des Chemins de fer du Jura (C.J.) SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100025;100025;1900-01-01;9999-12-31;44;VALIDATED;Transports Publics Neuchâtelois SA (cmn);Transports Publics Neuchâtelois SA (cmn);Transports Publics Neuchâtelois SA (cmn);Transports Publics Neuchâtelois SA (cmn);TRN-cmn;TRN-cmn;TRN-cmn;TRN-cmn;10;Eisenbahn;Ferrovia;Chemin de fer;#0047;TRN;Transports Publics Neuchâtelois SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100026;100026;1900-01-01;9999-12-31;45;VALIDATED;BLS AG (ebt);BLS AG (ebt);BLS AG (ebt);BLS AG (ebt);BLS-ebt;BLS-ebt;BLS-ebt;BLS-ebt;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100027;100027;1900-01-01;9999-12-31;46;VALIDATED;Forchbahn;Forchbahn;Forchbahn;Forchbahn;FB;FB;FB;FB;10;Eisenbahn;Ferrovia;Chemin de fer;#0129;FB;Forchbahn AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100028;100028;1900-01-01;9999-12-31;47;VALIDATED;Lugano-Ponte Tresa;Lugano-Ponte Tresa;Lugano-Ponte Tresa;Lugano-Ponte Tresa;FLP;FLP;FLP;FLP;10;Eisenbahn;Ferrovia;Chemin de fer;#0146;FLP;Ferrovie Luganesi SA (FLP);2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100029;100029;1900-01-01;9999-12-31;48;VALIDATED;Matterhorn Gotthard Bahn (fo);Matterhorn Gotthard Bahn (fo);Matterhorn Gotthard Bahn (fo);Matterhorn Gotthard Bahn (fo);MGB-fo;MGB-fo;MGB-fo;MGB-fo;10;Eisenbahn;Ferrovia;Chemin de fer;#0180;MGB;Matterhorn Gotthard Verkehrs AG;2022-08-04 14:16:29;2022-08-04 14:16:29
ch:1:sboid:100030;100030;1900-01-01;9999-12-31;49;VALIDATED;Ferrovie Autolinee Regionali Ticinesi;Ferrovie Autolinee Regionali Ticinesi;Ferrovie Autolinee Regionali Ticinesi;Ferrovie Autolinee Regionali Ticinesi;FART;FART;FART;FART;10;Eisenbahn;Ferrovia;Chemin de fer;#0142;FART;Società per le Ferrovie Autolinee Regionali Ticinesi (FART) Società Anonima;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100032;100032;2021-10-11;9999-12-31;51;VALIDATED;Appenzeller Bahnen (fw);Appenzeller Bahnen (fw);Appenzeller Bahnen (fw);Appenzeller Bahnen (fw);AB-fw;AB-fw;AB-fw;AB-fw;10;Eisenbahn;Ferrovia;Chemin de fer;#0109;AB;Appenzeller Bahnen AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100033;100033;1900-01-01;9999-12-31;52;VALIDATED;BLS AG (gbs);BLS AG (gbs);BLS AG (gbs);BLS AG (gbs);BLS-gbs;BLS-gbs;BLS-gbs;BLS-gbs;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100034;100034;2023-03-09;9999-12-31;53;VALIDATED;Transports publics fribourgeois;Transports publics fribourgeois;Transports publics fribourgeois;Transports publics fribourgeois;TPF;TPF;TPF;TPF;10;Eisenbahn;Ferrovia;Chemin de fer;#0025;TPF;Transports publics fribourgeois Trafic (TPF TRAFIC) SA;2023-03-09 13:05:14;2023-03-09 13:05:14
